timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2017-08-17 00:00:00,4261.48000000,4485.39000000,4261.32000000,4427.30000000,145.70874700,1502971199999,635695.49067993,582,122.80136000,536701.47306474,0
2017-08-17 12:00:00,4436.06000000,4485.39000000,4200.74000000,4285.08000000,649.44163000,1503014399999,2819074.56005213,2845,493.44718100,2141514.92753927,0
2017-08-18 00:00:00,4285.08000000,4371.52000000,4134.61000000,4340.31000000,720.72220100,1503057599999,3085356.16659987,3051,585.40800100,2508148.14656605,0
2017-08-18 12:00:00,4320.52000000,4340.31000000,3938.77000000,4108.37000000,479.16606300,1503100799999,2001602.13957164,2182,387.46070900,1620975.16995203,0
2017-08-19 00:00:00,4108.37000000,4184.69000000,3850.00000000,3957.60000000,298.51856900,1503143999999,1214382.54455495,1559,213.29778500,870668.01762263,0
2017-08-19 12:00:00,3945.12000000,4149.99000000,3928.89000000,4139.98000000,82.79119400,1503187199999,335101.19086656,594,61.03825700,247333.85246472,0
2017-08-20 00:00:00,4120.98000000,4211.08000000,4032.62000000,4106.53000000,71.23513600,1503230399999,293071.51187086,622,46.16552700,189987.72648683,0
2017-08-20 12:00:00,4106.53000000,4185.94000000,4063.35000000,4086.29000000,395.84788600,1503273599999,1637292.87845560,1699,330.63042000,1367413.60725047,0
2017-08-21 00:00:00,4069.13000000,4119.62000000,3953.40000000,4023.11000000,522.29158600,1503316799999,2117739.09106764,2585,435.16468900,1764902.81501784,0
2017-08-21 12:00:00,4023.11000000,4070.49000000,3911.79000000,4016.00000000,169.45147400,1503359999999,679492.62295964,1387,122.19141800,490759.73814053,0
2017-08-22 00:00:00,4016.00000000,4016.00000000,3400.00000000,3866.48000000,503.63810100,1503403199999,1924565.61357909,3132,327.14391100,1253199.53186362,0
2017-08-22 12:00:00,3866.48000000,4104.82000000,3786.81000000,4040.00000000,463.04675700,1503446399999,1827940.15856142,3362,96.85127000,383988.83747864,0
2017-08-23 00:00:00,4040.00000000,4242.32000000,4013.89000000,4237.99000000,436.52200900,1503489599999,1791941.26220467,3161,86.89992200,359251.87383735,0
2017-08-23 12:00:00,4205.98000000,4265.80000000,4069.80000000,4114.01000000,564.61455600,1503532799999,2356745.20361501,5468,222.51917000,934315.22135728,0
2017-08-24 00:00:00,4147.00000000,4250.94000000,4085.01000000,4202.00000000,418.18609800,1503575999999,1739475.02544040,3406,121.77274200,508853.09145766,0
2017-08-24 12:00:00,4211.78000000,4371.68000000,4136.33000000,4316.01000000,369.23265500,1503619199999,1557001.38772436,2841,85.04767000,359525.97267354,0
2017-08-25 00:00:00,4316.01000000,4370.00000000,4267.50000000,4361.27000000,317.04712900,1503662399999,1372285.48083330,3130,62.73039500,272273.48182498,0
2017-08-25 12:00:00,4361.27000000,4453.91000000,4247.48000000,4280.68000000,256.56561100,1503705599999,1112351.86852997,3424,37.36757900,162303.65392147,0
2017-08-26 00:00:00,4280.71000000,4319.70000000,4228.99000000,4288.72000000,106.49893700,1503748799999,456892.96718996,931,19.78222100,85126.14079010,0
2017-08-26 12:00:00,4288.72000000,4367.00000000,4212.41000000,4337.44000000,121.60913100,1503791999999,520972.76614214,1329,36.40792000,156237.65971235,0
2017-08-27 00:00:00,4332.51000000,4400.00000000,4285.56000000,4323.37000000,167.59726900,1503835199999,726533.55567699,2094,46.49083300,201960.14708187,0
2017-08-27 12:00:00,4340.00000000,4386.79000000,4285.54000000,4310.01000000,183.09531600,1503878399999,795046.50634858,1576,55.16052500,240482.03229028,0
2017-08-28 00:00:00,4310.01000000,4365.40000000,4124.54000000,4308.00000000,289.41458700,1503921599999,1232450.49615706,2212,98.35121900,419502.32759591,0
2017-08-28 12:00:00,4309.00000000,4399.82000000,4271.03000000,4386.69000000,314.42702900,1503964799999,1359210.02964247,2137,44.43656300,192861.87851543,0
2017-08-29 00:00:00,4353.65000000,4417.61000000,4313.55000000,4368.50000000,295.37046200,1504007999999,1287552.64858831,2213,63.55955200,278322.58045015,0
2017-08-29 12:00:00,4368.50000000,4625.85000000,4347.59000000,4587.48000000,308.17456600,1504051199999,1394931.08724160,1946,79.88301500,363659.44023643,0
2017-08-30 00:00:00,4564.52000000,4647.51000000,4416.01000000,4498.35000000,445.12830900,1504094399999,2030069.45568902,2895,101.52819000,462729.33733682,0
2017-08-30 12:00:00,4537.00000000,4609.92000000,4416.16000000,4555.14000000,363.34046200,1504137599999,1653645.23097221,2656,94.53406200,431890.90017201,0
2017-08-31 00:00:00,4555.14000000,4678.57000000,4555.14000000,4656.67000000,324.52461700,1504180799999,1492369.48773823,2096,52.77396700,243230.21127995,0
2017-08-31 12:00:00,4674.97000000,4745.42000000,4631.41000000,4724.89000000,232.43218500,1504223999999,1087509.23627361,2065,79.17335800,371112.32262239,0
2017-09-01 00:00:00,4689.89000000,4798.46000000,4654.88000000,4775.00000000,307.84076700,1504267199999,1454638.88571190,1974,62.51427700,296392.79664756,0
2017-09-01 12:00:00,4775.00000000,4885.55000000,4725.81000000,4834.91000000,252.82559900,1504310399999,1210526.67353426,2026,56.14582600,269861.63424978,0
2017-09-02 00:00:00,4796.16000000,4939.19000000,4473.35000000,4630.01000000,466.54801200,1504353599999,2193110.89475715,3841,194.03062100,912154.40926113,0
2017-09-02 12:00:00,4669.75000000,4675.00000000,4286.87000000,4472.14000000,462.60058300,1504396799999,2064613.05005985,3634,185.16924200,826179.67615622,0
2017-09-03 00:00:00,4508.50000000,4714.76000000,4456.80000000,4486.00000000,335.53516100,1504439999999,1541936.73737655,2991,123.08582200,565981.35071570,0
2017-09-03 12:00:00,4475.23000000,4583.84000000,4298.33000000,4509.08000000,355.68103700,1504483199999,1579116.01492526,3031,135.84871400,603663.34088124,0
2017-09-04 00:00:00,4505.00000000,4527.49000000,4052.00000000,4153.00000000,821.92475400,1504526399999,3540295.51350047,4882,343.77039900,1483428.51050371,0
2017-09-04 12:00:00,4153.00000000,4311.14000000,3972.51000000,4100.11000000,572.71986000,1504569599999,2369651.97658927,4435,234.83045200,976934.10241293,0
2017-09-05 00:00:00,4106.97000000,4248.60000000,3603.00000000,4246.82000000,722.68612500,1504612799999,2907968.36194498,6188,304.03565500,1228499.66108876,0
2017-09-05 12:00:00,4248.64000000,4484.99000000,4096.06000000,4366.47000000,506.25203200,1504655999999,2175484.82480573,3896,229.44041000,985798.17852370,0
2017-09-06 00:00:00,4366.49000000,4597.79000000,4335.26000000,4548.13000000,529.02333100,1504699199999,2363509.94838557,5353,273.19165500,1223495.24136392,0
2017-09-06 12:00:00,4544.59000000,4662.87000000,4422.28000000,4619.77000000,278.34039500,1504742399999,1262836.10705766,2603,149.73140800,679736.49955148,0
2017-09-07 00:00:00,4619.77000000,4661.93000000,4438.19000000,4613.94000000,245.62961000,1504785599999,1113457.63329177,1414,117.29751100,533162.43988611,0
2017-09-07 12:00:00,4616.79000000,4788.59000000,4586.13000000,4691.61000000,254.80036500,1504828799999,1192337.50309138,1656,123.38643800,578136.80368855,0
2017-09-08 00:00:00,4691.66000000,4735.39000000,4586.13000000,4647.53000000,127.03632800,1504871999999,588136.30354399,1007,55.61861600,257781.50500735,0
2017-09-08 12:00:00,4653.92000000,4690.83000000,4028.93000000,4282.80000000,1005.21871800,1504915199999,4278390.92284938,3726,410.34350300,1746495.78441020,0
2017-09-09 00:00:00,4282.80000000,4426.62000000,4150.06000000,4327.63000000,383.10066800,1504958399999,1636892.30294295,2074,183.08308000,783504.56403634,0
2017-09-09 12:00:00,4331.82000000,4400.60000000,4159.64000000,4258.81000000,275.68228400,1505001599999,1178491.16274403,1703,104.90672500,450122.44370775,0
2017-09-10 00:00:00,4258.81000000,4279.70000000,3801.00000000,4098.79000000,412.54442700,1505044799999,1667667.39903318,1922,170.95230900,690580.16649110,0
2017-09-10 12:00:00,4069.43000000,4283.00000000,4043.17000000,4130.37000000,247.82884800,1505087999999,1032704.40915893,1513,120.83457800,503303.87001339,0
2017-09-11 00:00:00,4153.62000000,4334.43000000,4098.91000000,4191.53000000,494.72020200,1505131199999,2088751.16585841,2587,230.40689200,973426.32840139,0
2017-09-11 12:00:00,4191.54000000,4313.18000000,4158.84000000,4208.47000000,205.26886300,1505174399999,868091.59664306,1641,91.79143800,388443.38484267,0
2017-09-12 00:00:00,4208.60000000,4394.59000000,4201.90000000,4340.10000000,344.96483300,1505217599999,1487040.92636798,3216,186.27000600,803045.13789232,0
2017-09-12 12:00:00,4343.01000000,4345.92000000,4040.80000000,4163.72000000,534.66548600,1505260799999,2238149.69692154,3285,265.51066400,1107970.12847834,0
